signal,horizon,n1,n0,mean1,mean0,spread_1_minus_0,median1,median0,hit1,hit0,welch_t,welch_p
VB01,3,317,546,0.0010868967931478896,0.0020035787480767865,-0.0009166819549288969,-0.0019259576289321068,0.0013765390649872478,0.45110410094637227,0.5238095238095238,-0.3087401095451782,0.7576131849822467
VB01,5,315,546,0.0017308221484014041,0.003307578454767963,-0.001576756306366559,0.0001466759561439268,0.00094734590349288,0.5015873015873016,0.5238095238095238,-0.45604152482189625,0.64849922868235
VB01,10,313,543,0.0051101621555516,0.004326058755573569,0.0007841033999780311,0.0017130620985010836,0.0033998186763370963,0.5143769968051118,0.5414364640883977,0.20456866306795912,0.8379739739188351
VB01,20,307,539,0.003944901627019265,0.010351202827462748,-0.006406301200443483,-0.0007511535572485295,0.0054803747474130304,0.4820846905537459,0.5732838589981447,-1.8248431788177113,0.06846117210732763
BB01,1,43,822,-0.0014329574914521007,0.00041625941079545325,-0.001849216902247554,-0.0011339154099104798,0.00018341003221677976,0.4418604651162791,0.5145985401459854,-1.151669769018844,0.25535230197547304
BB01,3,43,820,0.004091128771564468,0.0015397338325616272,0.002551394939002841,-0.0007555587536878239,-6.77120070077808e-05,0.4883720930232558,0.4975609756097561,0.25873698794292693,0.7970491308979205
BB01,5,43,818,0.017915661221380982,0.0019324857952693984,0.015983175426111586,0.014907127576488044,0.0004524994176218211,0.627906976744186,0.5097799511002445,1.4962615016584178,0.14168585846680823
BB01,10,43,813,0.018401233842026212,0.0038834902875239503,0.014517743554502261,0.011552599334850422,0.002087048912837286,0.5813953488372093,0.5289052890528906,1.3109446978673294,0.19661230975987748
BB01,20,40,806,0.017922904860544375,0.007535318770565212,0.010387586089979164,-2.904218529997671e-06,0.0027849303091432853,0.5,0.5421836228287841,0.9365447277407847,0.354479831754715
BB02,1,34,831,-0.0008816374731049054,0.00037367477452104577,-0.0012553122476259512,-0.0003584534392925276,0.00012015860936442913,0.47058823529411764,0.5126353790613718,-0.5778941746659624,0.5670581018810615
BB02,3,34,829,-2.3013169006622256e-05,0.0017361673433341756,-0.0017591805123407978,-0.0038151754388334735,0.0,0.4411764705882353,0.49939686369119424,-0.19384480376474458,0.8474250434806184
