signal,horizon,quintile,n,mean_return,median_return,hit_rate
PB08,5,4,174,0.00728124794464389,0.0025732868819713373,0.5689655172413793
PB08,5,5,172,-0.0013233841187685975,0.0014850986852908976,0.5290697674418605
PB08,10,1,174,0.012361585055210409,0.009664292129937246,0.5747126436781609
PB08,10,2,173,-0.0017999779369148629,-0.0017044589864556592,0.4797687861271676
PB08,10,3,168,0.0019153870983038973,0.0010340986735964952,0.5297619047619048
PB08,10,4,170,0.011979781990405131,0.010870908785554745,0.6058823529411764
PB08,10,5,171,-0.0014581106926325638,-0.00519019987105096,0.4678362573099415
PB08,20,1,174,0.018435447652311344,0.010604470839109315,0.5977011494252874
PB08,20,2,173,-0.004662826282702157,-0.000641299700726794,0.4682080924855491
PB08,20,3,168,0.004829133603436388,0.004394736526751486,0.5654761904761905
PB08,20,4,164,0.01430882693816684,0.0038088585513715856,0.5609756097560976
PB08,20,5,167,0.007373306081832098,0.0010858745814859017,0.5089820359281437
BB06,1,1,174,0.0004398691046272617,0.0005128444785679198,0.5344827586206896
BB06,1,2,173,0.00039268306734004295,0.00035997120230391033,0.5202312138728323
BB06,1,3,172,0.0013471786313088256,9.462890543876501e-05,0.5058139534883721
BB06,1,4,173,0.00013680959945332395,0.00023410294677073118,0.5144508670520231
BB06,1,5,173,-0.0006896307318155592,-0.00032516800346837904,0.4797687861271676
BB06,3,1,173,0.005039363443848284,-0.0012061870299416855,0.47398843930635837
BB06,3,2,172,0.00015766102884257383,0.0015484323600988281,0.5348837209302325
BB06,3,3,172,-0.0012291960217330892,0.0011676245304408361,0.5174418604651163
BB06,3,4,173,-0.0016605801397633268,-0.0006445144657689639,0.48554913294797686
BB06,3,5,173,0.006001588364440909,-0.0006351815872065458,0.47398843930635837
BB06,5,1,171,0.01095004760732636,0.004091400339663487,0.543859649122807
BB06,5,2,172,-0.0015742909452700724,0.0007065723947881075,0.5174418604651163
BB06,5,3,172,-0.0023151297090727545,-0.00028530127814968553,0.4941860465116279
BB06,5,4,173,0.0007184670552666594,0.0023966667895727323,0.5375722543352601
BB06,5,5,173,0.005915457943253045,-0.0007522567703110994,0.48554913294797686
BB06,10,1,168,0.010370577791039002,0.006235403600274858,0.5714285714285714
BB06,10,2,171,-0.000135314101290318,0.0008973872225865875,0.5087719298245614
BB06,10,3,171,0.006708311467279288,0.0017130620985010836,0.5321637426900585
BB06,10,4,173,-0.0023411376407577963,-0.0012759410064924204,0.4913294797687861
BB06,10,5,173,0.008597155215818098,0.00807907430972743,0.5549132947976878
BB06,20,1,168,0.008387175801312671,0.0015765098814145562,0.5178571428571429
BB06,20,2,170,0.007185643595813183,0.004181446330557281,0.5764705882352941
BB06,20,3,169,0.012761772345551614,0.0072079864489855705,0.5621301775147929
BB06,20,4,170,0.005755754056919932,0.0014128155077924864,0.5176470588235295
BB06,20,5,169,0.006062487937952397,0.0014222503160554734,0.5266272189349113
BB07,1,1,174,-0.00018625854891761678,-0.0004984584453884833,0.47126436781609193
BB07,1,2,173,-0.0002809919444401874,0.00018860807242537803,0.5260115606936416
BB07,1,3,172,-0.00023482936916178354,-0.0005280438647182195,0.45348837209302323
BB07,1,4,173,0.0007580997595565402,0.0018481499641684884,0.5549132947976878
BB07,1,5,173,0.0015653644539525163,0.0014387880326689473,0.5491329479768786
BB07,3,1,174,0.0028220259609707545,0.0008014167299073005,0.5172413793103449
