signal,horizon,years_present,positive_years,negative_years,sign_consistency,mean_yearly_coef,median_yearly_coef,mean_abs_yearly_t,max_abs_yearly_t,abs_median_coef
BB06,1,4,1,3,0.75,-0.0008155402277543508,-0.0008545064978676654,1.009793645207389,2.0701889158317335,0.0008545064978676654
VB04,3,4,3,1,0.75,0.005225420827321625,0.004139677549149762,0.9411500471868561,1.63614580906829,0.004139677549149762
VB02,10,4,1,3,0.75,-0.005469362253339395,-0.004294523370055357,0.9396962478874591,1.5697491987730792,0.004294523370055357
PB04,1,4,1,3,0.75,-0.0010299553328341562,-0.0012592542555715622,0.9285149129125472,2.1318211536180067,0.0012592542555715622
PB04,5,4,1,3,0.75,-0.004943757808308943,-0.0054800142575046305,0.8997576699464898,1.2250596977560724,0.0054800142575046305
BB04,3,4,3,1,0.75,0.007652458178777004,0.006657988130703288,0.8803692771087911,1.4152192054184296,0.006657988130703288
PB05,3,4,3,1,0.75,0.0026696689518511023,0.0020824946421249945,0.8788580652176712,1.7985392077723585,0.0020824946421249945
PB07,1,4,1,3,0.75,-0.02340823266198894,-0.030822308729669005,0.8508257937431865,1.194501335779527,0.030822308729669005
BB01,5,4,3,1,0.75,0.014588484881936061,0.015436907825873609,0.8065613544655594,1.7468101773619698,0.015436907825873609
PB08,1,4,1,3,0.75,-0.029971530162766935,-0.03954294219217044,0.7978277582405684,1.4205691399037594,0.03954294219217044
PB06,1,4,3,1,0.75,-1.6171163322024895e-05,0.0005149579796758952,0.7793337497970794,1.9624727023024353,0.0005149579796758952
PB01,10,4,1,3,0.75,-0.0056938735741489796,-0.00796534082926702,0.7472733384415305,1.2782123694456198,0.00796534082926702
BB05,20,4,1,3,0.75,-0.0053500075810786925,-0.008322284909731234,0.7238881745758452,1.4561468474401582,0.008322284909731234
BB07,1,4,3,1,0.75,0.10816475395221233,0.093983422639415,0.7230151958653822,1.7358522117470094,0.093983422639415
PB05,5,4,1,3,0.75,-0.0016837548001452955,-0.002354031962912231,0.7166887834642028,0.9238959769390529,0.002354031962912231
VB02,20,4,1,3,0.75,-0.00417762688015229,-0.003489253232900507,0.7104154734565866,1.3783703958470346,0.003489253232900507
PB03,5,4,1,3,0.75,-0.002108302011956751,-0.0028323133155675386,0.6903173955898565,1.0075964712252403,0.0028323133155675386
BB01,10,4,3,1,0.75,0.00927871161216719,0.004560381560851225,0.635050145395804,1.2815797618778597,0.004560381560851225
VB04,10,4,1,3,0.75,0.00041941776762096305,-0.0011894779244339814,0.6240457832861575,1.0734631561284527,0.0011894779244339814
VB02,5,4,1,3,0.75,-0.004286446677073693,-0.0013642873511585335,0.6175313125051975,1.7192805695026598,0.0013642873511585335
VB04,5,4,3,1,0.75,0.004330427686351661,0.0018645709078864035,0.6152139948367644,1.5711260211514495,0.0018645709078864035
BB05,10,4,1,3,0.75,0.002004860661948877,-0.0020463600409561977,0.5939778668356261,1.4362244603866041,0.0020463600409561977
BB03,5,4,1,3,0.75,-0.005250250981461256,-0.003565725099643126,0.5881870688827575,1.5495717917017668,0.003565725099643126
PB03,3,4,1,3,0.75,-0.0014647445575170037,-0.0023830645776057014,0.5678897348399963,0.8927335021566751,0.0023830645776057014
PB03,20,4,1,3,0.75,-0.00550982736080007,-0.0058495061982647145,0.566183185200832,1.0133011155948761,0.0058495061982647145
PB08,10,4,1,3,0.75,-0.19360648688029214,-0.2002542026344405,0.560285005751406,0.9186821039323181,0.2002542026344405
VB02,1,4,3,1,0.75,0.00017794639314318511,0.0003714152535797357,0.5514333445296753,1.148279192974559,0.0003714152535797357
PB06,10,4,1,3,0.75,-0.0008204734860023815,-0.0024945889922924815,0.5477510806730437,1.3646164438072113,0.0024945889922924815
PB06,3,4,3,1,0.75,0.0037168302986266676,0.0040407244726838685,0.5134335846068685,0.9310810862454566,0.0040407244726838685
BB05,1,4,1,3,0.75,-0.00037554836970716534,-4.4709442542014585e-05,0.4991975035013766,1.4376253079163799,4.4709442542014585e-05
PB03,10,4,1,3,0.75,-0.002793286482845094,-0.0023762561235386665,0.4668906706473299,0.6572461253485955,0.0023762561235386665
BB03,3,4,1,3,0.75,-0.0033559720120846315,-0.004674616231872337,0.3977537329619029,0.599035983582011,0.004674616231872337
PB07,3,4,1,3,0.75,-0.03250586897919182,-0.03812522488538639,0.35578471209379925,0.738896817239647,0.03812522488538639
BB01,3,4,3,1,0.75,0.0028186098946961498,0.003760339248467831,0.3312256199517828,0.47069912868616676,0.003760339248467831
BB04,1,4,3,1,0.75,0.0003866453629332954,0.0002598524377512797,0.18859160101925326,0.29461800610306765,0.0002598524377512797
VB03,10,3,1,2,0.6666666666666666,-0.009481895059229662,-0.0261269804010922,1.551833719881983,2.017361557343637,0.0261269804010922
PB02,1,3,1,2,0.6666666666666666,-0.0004908736102330076,-0.0012325497853273404,1.146270379284554,1.492605957388929,0.0012325497853273404
VB03,3,3,2,1,0.6666666666666666,0.009747477722669907,0.001411877457054051,0.8972651887056342,2.0179208117435707,0.001411877457054051
PB02,20,3,2,1,0.6666666666666666,-0.0014557351074048635,0.002251874155607742,0.6432351972817804,0.9699544441508355,0.002251874155607742
PB02,5,3,1,2,0.6666666666666666,-0.0015060608703120354,-0.003059945734599329,0.3834496441075535,0.6369332208261524,0.003059945734599329
PB02,10,3,1,2,0.6666666666666666,-0.00034708721297260135,-0.00047392108662218206,0.3259084589432687,0.6001813971488212,0.00047392108662218206
PB02,3,3,1,2,0.6666666666666666,-0.0008306890935774696,-0.0008384472676347689,0.2865934675405468,0.5525070663618988,0.0008384472676347689
VB05,5,4,2,2,0.5,0.0024069626622572394,2.8978816510026942e-05,1.3458657368492817,2.822306315996053,2.8978816510026942e-05
BB05,3,4,2,2,0.5,-0.000913503821008264,0.0003134264572823282,1.2450878230453513,2.053486014260811,0.0003134264572823282
BB03,20,4,2,2,0.5,-0.006522228991718908,-0.00526078557556314,1.151434909210589,2.0484064924780596,0.00526078557556314
BB02,10,4,2,2,0.5,-0.0016221919746690627,0.004519232812390119,0.9907508919340516,1.336912746324421,0.004519232812390119
BB02,5,4,2,2,0.5,-0.002984793949436482,-0.0011366720407954174,0.961702030661392,1.047145492182303,0.0011366720407954174
BB05,5,4,2,2,0.5,-0.0012901685422712576,0.001284738321582012,0.950292985533926,1.689773173217627,0.001284738321582012
VB01,3,4,2,2,0.5,-0.0008613757756666849,-0.0027159395660625294,0.9294899528445691,1.3076835382904441,0.0027159395660625294
VB01,1,4,2,2,0.5,-0.00041210648070031476,-0.00018021889617416873,0.910438271491272,1.5399950917561105,0.00018021889617416873
VB05,1,4,2,2,0.5,0.0006676425963558111,0.0005569982443285625,0.8952784845168699,1.818947402285515,0.0005569982443285625
BB02,3,4,2,2,0.5,-0.010427110590723406,-0.004318720503031861,0.876641763818304,1.3637464677590765,0.004318720503031861
