,0
2019-12-09,-0.011039302985223973
2019-12-11,-0.011039302985223973
2019-12-12,0.0022078605970447945
2019-12-13,-0.006623581791134384
2019-12-16,-0.006623581791134384
2019-12-17,-0.015455024179313563
2019-12-18,-0.006623581791134384
2019-12-19,-0.015455024179313563
2019-12-20,-0.02428646656749274
2019-12-23,-0.02428646656749274
2019-12-24,-0.02870218776158233
2019-12-25,-0.041949351343851096
2019-12-26,-0.05519651492611986
2019-12-27,-0.05519651492611986
2019-12-30,-0.06844367850838864
2019-12-31,-0.06844367850838864
2020-01-01,-0.07285939970247823
2020-01-06,-0.07727512089656781
2020-01-07,-0.07727512089656781
2020-01-09,-0.06844367850838864
2020-01-10,-0.05961223612020946
2020-01-13,-0.05078079373203028
2020-01-14,-0.05961223612020946
2020-01-15,-0.05961223612020946
2020-01-16,-0.06844367850838864
2020-01-17,-0.1118854694503436
2020-01-20,-0.008705091922302469
2020-01-21,-0.04811920611971819
2020-01-22,-0.08843715456743634
2020-01-23,-0.05945280219973573
2020-01-24,-0.07360823129491091
2020-01-27,-0.07927040293298097
2020-01-28,-0.07360823129491091
2020-01-29,-0.07927040293298097
2020-01-30,-0.05945280219973573
2020-01-31,-0.042466287285525525
2020-02-03,-0.042466287285525525
2020-02-04,-0.031141944009385383
2020-02-06,-0.01698651491421021
2020-02-07,-0.019817600733245243
2020-02-10,-0.01698651491421021
2020-02-11,-0.025479772371315313
2020-02-12,-0.031141944009385383
2020-02-13,-0.019817600733245243
2020-02-14,-0.019817600733245243
2020-02-17,-0.00449680446953066
2020-02-18,-0.00449680446953066
2020-02-19,-0.010492543762238208
2020-02-20,-0.016488283054945756
2020-02-21,-0.028479761640360847
2020-02-24,-0.016488283054945756
2020-02-25,0.009623841223943636
2020-02-26,-0.03307934930474938
2020-02-27,-0.04700749638043333
2020-02-28,-0.04700749638043333
2020-03-02,-0.04004342284259136
2020-03-03,-0.04004342284259136
2020-03-04,-0.03307934930474938
2020-03-06,-0.029597312535828396
2020-03-09,0.03849536489577454
2020-03-11,0.03849536489577454
2020-03-12,0.03528741782112667
2020-03-13,0.08244141527472879
2020-03-16,0.09143502421379011
2020-03-17,0.08843715456743634
2020-03-18,0.09143502421379011
2020-03-19,0.07044993668931368
2020-03-20,0.07044993668931368
2020-03-23,0.07344780633566746
2020-03-24,0.07944354562837501
2020-03-25,0.08244141527472879
2020-03-26,0.08543928492108256
2020-03-27,0.09143502421379011
2020-03-30,0.09143502421379011
2020-03-31,0.10342650279920519
2020-04-02,0.10342650279920519
2020-04-03,0.11242011173826652
2020-04-06,0.10942224209191274
2020-04-08,0.1154179813846203
2020-04-09,0.10642437244555897
2020-04-13,0.09743076350649767
2020-04-14,0.09443289386014389
2020-04-15,0.09443289386014389
2020-04-16,0.08543928492108256
2020-04-17,0.08244141527472879
2020-04-20,0.12510993591126726
2020-04-21,0.009623841223943636
2020-04-22,0.0930304651647885
2020-04-23,0.12831788298591515
2020-04-24,0.08340662394084485
2020-04-27,0.08982251809014062
2020-04-28,0.10907020053802789
2020-04-29,0.10586225346338002
2020-04-30,0.11548609468732364
2020-05-01,0.10265430638873213
2020-05-04,0.0930304651647885
2020-05-05,0.08340662394084485
2020-05-06,0.07378278271690122
2020-05-07,0.07699072979154908
2020-05-08,0.07699072979154908
2020-05-11,0.06736688856760546
2020-05-13,0.07699072979154908
2020-05-14,0.08661457101549273
2020-05-15,0.07699072979154908
2020-05-18,0.07699072979154908
2020-05-19,0.08982251809014062
2020-05-20,0.09944635931408426
2020-05-21,0.10265430638873213
2020-05-22,0.10265430638873213
2020-05-25,0.10586225346338002
2020-05-26,0.10586225346338002
2020-05-27,0.11548609468732364
2020-05-28,0.12831788298591515
2020-05-29,0.13152583006056304
2020-06-01,0.13473377713521092
2020-06-02,0.13473377713521092
2020-06-03,0.12190198883661939
2020-06-04,0.10642437244555897
2020-06-05,0.12141372067732785
2020-06-08,0.04811920611971819
2020-06-10,0.03528741782112667
2020-06-16,0.11242011173826652
2020-06-17,0.0014989348231768868
2020-06-18,-0.0651149738378058
2020-06-19,-0.08210148875201602
2020-06-22,-0.07360823129491091
2020-06-23,-0.07077714547587587
2020-06-24,-0.07643931711394594
2020-06-25,-0.0877636603900861
2020-06-26,-0.0877636603900861
2020-06-29,-0.09625691784719119
2020-06-30,-0.08210148875201602
2020-07-01,-0.08210148875201602
2020-07-02,-0.044471041552528866
2020-07-07,-0.030994968354792846
2020-07-08,-0.030994968354792846
2020-07-09,-0.030994968354792846
2020-07-13,-0.025604539075698433
2020-07-14,-0.02829975371524564
2020-07-15,-0.017518895157056825
2020-07-16,-0.02021410979660403
2020-07-17,-0.022909324436151235
2020-07-20,-0.022909324436151235
2020-07-21,-0.02829975371524564
2020-07-23,-0.022909324436151235
2020-07-24,-0.017518895157056825
2020-07-27,0.002831085819035035
2020-07-28,-0.052462718811191036
2020-07-29,-0.02887152367183091
2020-07-30,-0.0017410183844604938
2020-07-31,-0.015669165460144446
2020-08-04,-0.029597312535828396
2020-08-05,-0.02611527576690741
2020-08-06,-0.02263323899798642
2020-08-07,-0.008705091922302469
2020-08-10,-0.019151202229065432
2020-08-13,-0.02611527576690741
2020-08-14,-0.019151202229065432
2020-08-17,-0.029597312535828396
2020-08-18,-0.03307934930474938
2020-08-19,-0.03307934930474938
2020-08-20,-0.02263323899798642
2020-08-21,-0.02611527576690741
2020-08-24,-0.02611527576690741
2020-08-25,-0.015669165460144446
2020-08-26,-0.02611527576690741
2020-08-27,-0.04352545961151234
2020-08-28,-0.04004342284259136
2020-08-31,-0.04004342284259136
2020-09-01,-0.04004342284259136
2020-09-03,-0.053971569918275314
2020-09-04,-0.06093564345611728
2020-09-07,-0.06441768022503827
2020-09-09,-0.050489533149354324
2020-09-10,-0.04352545961151234
2020-09-11,-0.03307934930474938
2020-09-14,0.03849536489577454
2020-09-15,0.053971569918275314
2020-09-16,0.04004342284259136
2020-09-17,0.04811920611971819
2020-09-18,0.10942224209191274
2020-09-21,0.13340519926274294
2020-09-22,0.17837324395804952
2020-09-23,0.29229229051949296
2020-09-24,0.29229229051949296
2020-09-25,0.2743050726413703
2020-09-28,0.2743050726413703
2020-09-29,0.29229229051949296
2020-09-30,0.29229229051949296
2020-10-01,0.2773029422877241
2020-10-02,0.28030081193407785
2020-10-06,0.28030081193407785
2020-10-07,0.28030081193407785
2020-10-08,0.28229934256901335
2020-10-12,0.266259607195774
2020-10-13,0.25984371304647824
