date,baseline_equity,equal_weight_equity,risk_parity_equity,optimize_sharpe_equity
2018-11-07,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-09,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-12,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-13,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-14,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-15,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-16,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-19,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-21,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-22,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-23,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-26,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-27,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-28,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-29,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-30,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-03,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-04,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-06,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-07,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-10,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-11,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-12,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-13,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-12-14,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-17,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-18,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-19,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-20,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-21,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-24,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-25,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
