signal,type,year,horizon,n,coef,hac_tstat,hac_pvalue,spearman_ic,n1,n0,mean_1,mean_0,spread_1_minus_0
PB03,binary,2021,3,178,-2.4753294146821563e-06,-0.0008344700895001285,0.9993341892764078,-0.08613766634252328,105.0,73.0,0.0008568453760995639,0.000859320705514245,-2.4753294146811263e-06
PB03,binary,2018,5,227,0.007294767900911602,0.8517572323520521,0.39434884793685765,0.03451710632976999,122.0,105.0,0.007472645949715042,0.00017787804880342595,0.007294767900911616
PB03,binary,2019,5,228,-0.010063349317603528,-1.0075964712252403,0.3136482236898901,-0.03340158793437555,106.0,122.0,-0.0045374627323578574,0.005525886585245665,-0.010063349317603523
PB03,binary,2020,5,230,-0.003843000807336496,-0.42271197104624203,0.6725054204100525,-0.07890508190925274,144.0,86.0,0.0032165709921244162,0.007059571799460916,-0.0038430008073364994
PB03,binary,2021,5,176,-0.001821625823798581,-0.4792039077358914,0.6317935745327735,-0.11067521538938925,105.0,71.0,0.0001589481089821778,0.001980573932780757,-0.0018216258237985792
PB03,binary,2018,10,227,0.003039551912445689,0.35569859329403297,0.7220662986173456,0.037618252601585266,122.0,105.0,0.0068292436348633455,0.0037896917224176465,0.003039551912445699
PB03,binary,2019,10,228,-0.009460185596748731,-0.6572461253485955,0.5110226714984505,-0.05344254069500089,106.0,122.0,-0.004052080591313508,0.005408105005435226,-0.009460185596748733
PB03,binary,2020,10,230,-0.002319070287757876,-0.22157166755873423,0.8246473402868584,-0.03518923035404068,144.0,86.0,0.008401577782495732,0.010720648070253608,-0.002319070287757876
PB03,binary,2021,10,171,-0.002433441959319457,-0.633046296387957,0.5267034106081921,-0.05921581271948212,104.0,67.0,0.0011247572554237012,0.0035581992147431575,-0.002433441959319456
PB03,binary,2018,20,227,-0.010980950275803232,-1.0133011155948761,0.3109163548313806,-0.16543941197901477,122.0,105.0,0.005030576727790784,0.016011527003594015,-0.01098095027580323
PB03,binary,2019,20,228,-0.004173624973680295,-0.31985900874270723,0.7490752129449743,-0.024316356016225404,106.0,122.0,-0.004224063021106558,-5.043804742626292e-05,-0.004173624973680294
PB03,binary,2020,20,230,-0.007525387422849133,-0.7724291858746626,0.4398602733275413,-0.11165813477724446,144.0,86.0,0.015653265658417626,0.023178653081266765,-0.007525387422849139
PB03,binary,2021,20,161,0.0006406532291323804,0.15914343059108216,0.8735558715537441,-0.04347697671506831,95.0,66.0,0.004622330699841277,0.003981677470708899,0.0006406532291323777
PB04,binary,2018,1,227,-0.0011200128913410696,-0.8534282825372805,0.393421842925308,-0.035709444285472236,64.0,163.0,-5.1060424894309314e-05,0.0010689524664467594,-0.0011200128913410688
PB04,binary,2019,1,228,0.00011268293541377597,0.07617350404903195,0.9392810621353049,0.019667527938541176,104.0,124.0,-0.0001846851738192161,-0.00029736810923299396,0.00011268293541377787
PB04,binary,2020,1,230,-0.0013984956198020545,-0.6526367114458694,0.5139905124137647,-0.05664416293590688,184.0,46.0,0.0001569232145634011,0.0015554188343654552,-0.0013984956198020541
PB04,binary,2021,1,180,-0.001713995755607277,-2.1318211536180067,0.033021551954436144,-0.14418001965741098,130.0,50.0,-0.00011369635174952597,0.0016002994038577523,-0.0017139957556072782
PB04,binary,2018,3,227,0.0014706757194984498,0.24937132353980263,0.8030735650961158,0.007321183138025688,64.0,163.0,0.003416189041392039,0.0019455133218935878,0.0014706757194984513
PB04,binary,2019,3,228,-0.004633985800582949,-0.6155865414970205,0.5381674360852234,0.009097904080413605,104.0,124.0,-0.0018661094614591095,0.0027678763391238434,-0.0046339858005829525
PB04,binary,2020,3,230,-0.012307287526760522,-1.5068441441712521,0.13185061137013726,-0.1517605174612303,184.0,46.0,0.00015117315424553987,0.012458460681006053,-0.012307287526760514
PB04,binary,2021,3,178,0.0008866736204819813,0.2512285333751531,0.8016374253839427,-0.10366639443977563,129.0,49.0,0.0011019448505427596,0.00021527123006077756,0.000886673620481982
PB04,binary,2018,5,227,0.006711665551283688,0.7817661442347906,0.4343520211715005,0.05393769618014844,64.0,163.0,0.00891780390241778,0.0022061383511340913,0.006711665551283688
PB04,binary,2019,5,228,-0.007498160787459088,-0.7242638422809452,0.468903770660719,-0.008428940545089076,104.0,124.0,-0.003230635192433726,0.004267525595025369,-0.007498160787459095
PB04,binary,2020,5,230,-0.0155266682695102,-1.2250596977560724,0.2205527286333524,-0.13669906373260765,184.0,46.0,0.0015481854661829814,0.017074853735693177,-0.015526668269510196
PB04,binary,2021,5,176,-0.0034618677275501733,-0.8679409955141512,0.38542663485618167,-0.1488317241906186,127.0,49.0,-7.000692033747856e-05,0.0033918608072126973,-0.003461867727550176
PB04,binary,2018,10,227,0.0047583359065524865,0.38941591058066105,0.6969685041570812,0.052891812874716206,64.0,163.0,0.008840062145705891,0.004081726239153398,0.004758335906552493
PB04,binary,2019,10,228,-0.006927166130015897,-0.53420034777242,0.5932029285552047,-0.03906747046295254,104.0,124.0,-0.0027574575970969557,0.0041697085329189445,-0.0069271661300159
PB04,binary,2020,10,230,-0.020246364982157868,-1.1156021092370976,0.2645924888668687,-0.11607142058253751,184.0,46.0,0.005219435415399712,0.025465800397557577,-0.020246364982157865
