signal,type,horizon,n,n1,n0,mean_1,mean_0,spread_1_minus_0,tstat_spread,pearson_ic,spearman_ic
PB05,binary,5,861,458,403,0.0021432022868700614,0.003398412321745067,-0.0012552100348750058,-0.36783874510105047,-0.012477498411485814,-0.03718796293948852
PB05,binary,10,856,458,398,0.0034751482592336185,0.005921891347324376,-0.0024467430880907577,-0.6652170023227083,-0.02272264699378852,-0.025904935265321827
PB05,binary,20,846,453,393,0.00872832900585071,0.007217430238796344,0.0015108987670543663,0.4367431257632458,0.014973491797356093,-0.0013731931459327299
PB06,binary,1,865,127,738,0.00048102017778574676,0.00029736924249679187,0.0001836509352889549,0.19229678254752403,0.006378214311588538,0.016783070649667598
PB06,binary,3,863,127,736,0.004707189274532506,0.0011422381005600246,0.003564951173972481,0.6943533250759981,0.029717250704428898,-0.007352370404739792
PB06,binary,5,861,127,734,0.0034631972121764616,0.0026039792467347947,0.0008592179654416669,0.15773962225741134,0.006069865924237353,-0.006259382389487959
PB06,binary,10,856,127,729,0.0031848971296561403,0.004861520882712989,-0.0016766237530568486,-0.30597997254419185,-0.011096793788846843,-0.009263447634390033
PB06,binary,20,846,123,723,0.002921865246584483,0.00889487371807392,-0.005973008471489438,-1.1101395130083105,-0.04183667690120828,-0.04135059152094319
PB07,continuous,1,865,0,0,,,,,-0.046403355660227096,-0.03419389528957431
PB07,continuous,3,863,0,0,,,,,-0.03132266501346157,-0.04170246779532193
PB07,continuous,5,861,0,0,,,,,-0.07037836250471897,-0.05708968411683358
PB07,continuous,10,856,0,0,,,,,-0.10425712175825964,-0.07627705656362471
PB07,continuous,20,846,0,0,,,,,-0.0878896250340994,-0.0694751036013557
PB08,continuous,1,865,0,0,,,,,-0.026150913863471167,-0.017322979470036904
PB08,continuous,3,863,0,0,,,,,-0.024688248571442705,-0.020284633320853878
PB08,continuous,5,861,0,0,,,,,-0.04128221539829091,-0.02242057719167762
PB08,continuous,10,856,0,0,,,,,-0.045097650321078535,-0.029858848677210673
PB08,continuous,20,846,0,0,,,,,-0.07610618594376896,-0.026884905163019234
BB01,binary,1,865,43,822,-0.0014329574914521007,0.00041625941079545325,-0.001849216902247554,-1.151669769018844,-0.03943972814766067,-0.04213383192492951
BB01,binary,3,863,43,820,0.004091128771564468,0.0015397338325616272,0.002551394939002841,0.25873698794292693,0.01306270496946992,-0.003142362617499962
